,id,avg,date,dateStandard,value,unit,address,coordinates,directions,date_modified,acronimo_short
0,QA00NO0001,1h,202301031000000000,UTC,117.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,QA00
1,QA0NO20001,1h,202301031000000000,UTC,71.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,QA0N
2,QA00O30001,1h,202301031000000000,UTC,4.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,QA00
3,QAPM250001,1h,202301031000000000,UTC,7.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,QAPM
4,QAPM100001,1h,202301031000000000,UTC,19.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,QAPM
5,QA00CO0001,1h,202301031000000000,UTC,0.044043900000000004,mg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,QA00
6,RULAEQ0001,1h,202301031000000000,UTC,54.0,dB(A),Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,RULA
7,ME00PA0001,1h,202301031000000000,UTC,1027.0,mbar,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,ME00
8,ME00HR0001,1h,202301031000000000,UTC,81.3,%,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,ME00
9,METEMP0001,1h,202301031000000000,UTC,12.6,ºC,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",,2023-01-03 10:00:00,METE
10,QA00NO0003,1h,202301031000000000,UTC,-99.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,QA00
11,QA0NO20003,1h,202301031000000000,UTC,28.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,QA0N
12,QA00O30003,1h,202301031000000000,UTC,10.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,QA00
13,QAPM250003,1h,202301031000000000,UTC,105.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,QAPM
14,QAPM100003,1h,202301031000000000,UTC,252.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,QAPM
15,QA0SO20003,1h,202301031000000000,UTC,-99.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,QA0S
16,QA00CO0003,1h,202301031000000000,UTC,0.07561870000000001,mg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,QA00
17,RULAEQ0003,1h,202301031000000000,UTC,62.0,dB(A),Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,RULA
18,ME00PA0003,1h,202301031000000000,UTC,1031.0,mbar,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,ME00
19,ME00HR0003,1h,202301031000000000,UTC,89.6,%,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",,2023-01-03 10:00:00,ME00
