,id,avg,date,dateStandard,value,unit,address,coordinates,date_modified,acronimo_short
0,QAPM250001,1h,202109081100000000,UTC,6.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,QAPM
1,QAPM100001,1h,202109081100000000,UTC,17.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,QAPM
2,QA00CO0001,1h,202109081100000000,UTC,0.1613904,mg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,QA00
3,RULAEQ0001,1h,202109081100000000,UTC,54.0,dB(A),Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,RULA
4,ME00PA0001,1h,202109081100000000,UTC,1013.0,mbar,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,ME00
5,ME00HR0001,1h,202109081100000000,UTC,75.7,%,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,ME00
6,METEMP0001,1h,202109081100000000,UTC,24.7,ºC,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,METE
7,ME00VI0001,1h,202109081100000000,UTC,-99.0,km/h,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,ME00
8,ME00VD0001,1h,202109081100000000,UTC,-99.0,º,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-08 11:00:00,ME00
9,QAPM250002,1h,202109081100000000,UTC,4.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,QAPM
10,QAPM100002,1h,202109081100000000,UTC,12.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,QAPM
11,QA00CO0002,1h,202109081100000000,UTC,0.017625699999999002,mg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,QA00
12,RULAEQ0002,1h,202109081100000000,UTC,53.0,dB(A),Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,RULA
13,ME00PA0002,1h,202109081100000000,UTC,1009.0,mbar,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,ME00
14,ME00HR0002,1h,202109081100000000,UTC,80.5,%,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,ME00
15,METEMP0002,1h,202109081100000000,UTC,24.0,ºC,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,METE
16,ME00VI0002,1h,202109081100000000,UTC,-99.0,km/h,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,ME00
17,ME00VD0002,1h,202109081100000000,UTC,-99.0,º,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-08 11:00:00,ME00
18,QAPM250003,1h,202109081100000000,UTC,3.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,QAPM
19,QAPM100003,1h,202109081100000000,UTC,10.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,QAPM
20,QA00CO0003,1h,202109081100000000,UTC,0.0182651,mg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,QA00
21,RULAEQ0003,1h,202109081100000000,UTC,53.0,dB(A),Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,RULA
22,ME00PA0003,1h,202109081100000000,UTC,1015.0,mbar,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,ME00
23,ME00HR0003,1h,202109081100000000,UTC,83.9,%,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,ME00
24,METEMP0003,1h,202109081100000000,UTC,22.8,ºC,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,METE
25,ME00VI0003,1h,202109081100000000,UTC,-99.0,km/h,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,ME00
26,ME00VD0003,1h,202109081100000000,UTC,-99.0,º,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-09-08 11:00:00,ME00
27,QA0NO20004,1h,202109081100000000,UTC,27.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-09-08 11:00:00,QA0N
28,QAPM250004,1h,202109081100000000,UTC,4.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-09-08 11:00:00,QAPM
29,QAPM100004,1h,202109081100000000,UTC,10.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-09-08 11:00:00,QAPM
30,QA00CO0004,1h,202109081100000000,UTC,0.2238,mg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-09-08 11:00:00,QA00
