,id,avg,date,dateStandard,value,unit,address,coordinates,directions,date_modified,acronimo_short
0,QA00NO0019,1h,202203161000000000,UTC,76.0,µg/m3,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,QA00
1,QA0NO20019,1h,202203161000000000,UTC,111.0,µg/m3,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,QA0N
2,QA00O30019,1h,202203161000000000,UTC,69.0,µg/m3,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,QA00
3,QAPM250019,1h,202203161000000000,UTC,41.0,µg/m3,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,QAPM
4,QAPM100019,1h,202203161000000000,UTC,100.0,µg/m3,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,QAPM
5,QA00CO0019,1h,202203161000000000,UTC,0.129177799999999,mg/m3,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,QA00
6,RULAEQ0019,1h,202203161000000000,UTC,56.0,dB(A),Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,RULA
7,ME00PA0019,1h,202203161000000000,UTC,993.0,mbar,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,ME00
8,ME00HR0019,1h,202203161000000000,UTC,83.8,%,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,ME00
9,METEMP0019,1h,202203161000000000,UTC,14.2,ºC,Monsanto - Alameda Keil do Amaral,"{'x': -92395, 'y': -104728, 'z': 0, 'lat': 38.72009921, 'lng': -9.195513512}",,2022-03-16 10:00:00,METE
10,CT0VTH0034,1h,202203151700000000,UTC,621.0,Veículos,Avenida da Républica,"{'x': -88039.8519, 'y': -103019.5149, 'z': 0, 'lat': 38.73593143, 'lng': -9.145660419}","{'from-to': {'direction': 'Saldanha - Marques de Pombal', 'P': 72, 'M': 81, 'L': 199, 'total': 352}, 'to-from': {'direction': 'Marques de Pombal - Saldanha', 'P': 17, 'M': 46, 'L': 206, 'total': 269}}",2022-03-15 17:00:00,CT0V
11,CT0VTH0069,1h,202203160900000000,UTC,3991.0,Veículos,Calçada de Carriche,"{'x': -89823, 'y': -97701, 'z': 0, 'lat': 38.78365404, 'lng': -9.166856353}","{'from-to': {'direction': 'Odivelas - Lumiar', 'P': 106, 'M': 83, 'L': 1194, 'total': 1383}, 'to-from': {'direction': 'Lumiar - Odivelas', 'P': 120, 'M': 670, 'L': 1818, 'total': 2608}}",2022-03-16 09:00:00,CT0V
12,CT0VTH0076,1h,202203160900000000,UTC,626.0,Veículos,Restauradores - Avenida da Liberdade,"{'x': -87781.5819006, 'y': -105178.68474, 'z': 0, 'lat': 38.71650996, 'lng': -9.142416812}","{'from-to': {'direction': 'Marques de Pombal - Baixa', 'P': 37, 'M': 79, 'L': 31, 'total': 147}, 'to-from': {'direction': 'Baixa - Marques de Pombal', 'P': 36, 'M': 61, 'L': 382, 'total': 479}}",2022-03-16 09:00:00,CT0V
13,CT0VTH1027,1h,202203160900000000,UTC,4761.0,Veículos,Avenida Eng. Duarte Pacheco,"{'x': -88532.0078, 'y': -104119, 'z': 0, 'lat': 38.722952, 'lng': -9.167161}","{'from-to': {'direction': 'Viaduto Eng. Duarte Pacheco - Amoreiras', 'P': 189, 'M': 68, 'L': 1510, 'total': 1767}, 'to-from': {'direction': 'Amoreiras - Viaduto Eng. Duarte Pacheco', 'P': 127, 'M': 1050, 'L': 1817, 'total': 2994}}",2022-03-16 09:00:00,CT0V
14,CT0VTH1079,1h,202203160900000000,UTC,1928.0,Veículos,Avenida de Berlim,"{'x': -84666.8, 'y': -99295.3, 'z': 0, 'lat': 38.769492, 'lng': -9.122116}","{'from-to': {'direction': 'Parque das Naçoes - Aeroporto', 'P': 46, 'M': 183, 'L': 1044, 'total': 1273}, 'to-from': {'direction': 'Aeroporto - Parque das Naçoes', 'P': 80, 'M': 121, 'L': 454, 'total': 655}}",2022-03-16 09:00:00,CT0V
