,id,avg,date,dateStandard,value,unit,address,coordinates,date_modified,acronimo_short
0,QAPM250001,1h,202109131100000000,UTC,6.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,QAPM
1,QAPM100001,1h,202109131100000000,UTC,16.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,QAPM
2,QA00CO0001,1h,202109131100000000,UTC,0.1560634,mg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,QA00
3,RULAEQ0001,1h,202109131100000000,UTC,53.0,dB(A),Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,RULA
4,ME00PA0001,1h,202109131100000000,UTC,1005.0,mbar,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,ME00
5,ME00HR0001,1h,202109131100000000,UTC,71.2,%,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,ME00
6,METEMP0001,1h,202109131100000000,UTC,25.0,ºC,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,METE
7,ME00VI0001,1h,202109131100000000,UTC,-99.0,km/h,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,ME00
8,ME00VD0001,1h,202109131100000000,UTC,-99.0,º,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-09-13 11:00:00,ME00
9,QAPM250002,1h,202109131100000000,UTC,5.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-13 11:00:00,QAPM
10,QAPM100002,1h,202109131100000000,UTC,14.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-13 11:00:00,QAPM
11,QA00CO0002,1h,202109131100000000,UTC,0.013726299999999999,mg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-13 11:00:00,QA00
12,RULAEQ0002,1h,202109131100000000,UTC,53.0,dB(A),Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-09-13 11:00:00,RULA
