,id,avg,date,dateStandard,value,unit,directions,address,coordinates,date_modified,acronimo_short
0,CT0VTH0034,1h,202203100800000000,UTC,1035,Veículos,"{'from-to': {'direction': 'Saldanha - Marques de Pombal', 'P': 86, 'M': 94, 'L': 368, 'total': 548}, 'to-from': {'direction': 'Marques de Pombal - Saldanha', 'P': 46, 'M': 37, 'L': 404, 'total': 487}}",Avenida da Républica,"{'x': -88039.8519, 'y': -103019.5149, 'z': 0, 'lat': 38.73593143, 'lng': -9.145660419}",2022-03-10 08:00:00,CT0V
1,CT0VTH0069,1h,202203100800000000,UTC,4402,Veículos,"{'from-to': {'direction': 'Odivelas - Lumiar', 'P': 115, 'M': 77, 'L': 1406, 'total': 1598}, 'to-from': {'direction': 'Lumiar - Odivelas', 'P': 154, 'M': 1089, 'L': 1561, 'total': 2804}}",Calçada de Carriche,"{'x': -89823, 'y': -97701, 'z': 0, 'lat': 38.78365404, 'lng': -9.166856353}",2022-03-10 08:00:00,CT0V
2,CT0VTH0076,1h,202203100800000000,UTC,497,Veículos,"{'from-to': {'direction': 'Marques de Pombal - Baixa', 'P': 34, 'M': 25, 'L': 19, 'total': 78}, 'to-from': {'direction': 'Baixa - Marques de Pombal', 'P': 24, 'M': 54, 'L': 341, 'total': 419}}",Restauradores - Avenida da Liberdade,"{'x': -87781.5819006, 'y': -105178.68474, 'z': 0, 'lat': 38.71650996, 'lng': -9.142416812}",2022-03-10 08:00:00,CT0V
3,CT0VTH1027,1h,202203100800000000,UTC,4886,Veículos,"{'from-to': {'direction': 'Viaduto Eng. Duarte Pacheco - Amoreiras', 'P': 162, 'M': 56, 'L': 1700, 'total': 1918}, 'to-from': {'direction': 'Amoreiras - Viaduto Eng. Duarte Pacheco', 'P': 104, 'M': 1086, 'L': 1778, 'total': 2968}}",Avenida Eng. Duarte Pacheco,"{'x': -88532.0078, 'y': -104119, 'z': 0, 'lat': 38.722952, 'lng': -9.167161}",2022-03-10 08:00:00,CT0V
4,CT0VTH1079,1h,202203100800000000,UTC,1845,Veículos,"{'from-to': {'direction': 'Parque das Naçoes - Aeroporto', 'P': 41, 'M': 138, 'L': 941, 'total': 1120}, 'to-from': {'direction': 'Aeroporto - Parque das Naçoes', 'P': 124, 'M': 65, 'L': 536, 'total': 725}}",Avenida de Berlim,"{'x': -84666.8, 'y': -99295.3, 'z': 0, 'lat': 38.769492, 'lng': -9.122116}",2022-03-10 08:00:00,CT0V
